timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-10,202293.74400000,206354.40000000,188653.04000000,191928.89880000,29233.20000000,29820.00000000,27262.00000000,27735.39000000,469484.33530000,469484.33530000
2023-04-30,196980.29120000,214520.00000000,186444.31440000,202293.81320000,28465.36000000,31000.00000000,26942.82000000,29233.21000000,1626745.55850000,1626745.55850000
2023-03-31,160139.66440000,201957.98560000,135279.70280000,196980.29120000,23141.57000000,29184.68000000,19549.09000000,28465.36000000,9516189.35846000,9516189.35846000
2023-02-28,160025.89960000,174730.00000000,147749.40440000,160139.66440000,23125.13000000,25250.00000000,21351.07000000,23141.57000000,8642691.27165000,8642691.27165000
2023-01-31,114469.04840000,165806.93680000,114173.14920000,160025.89960000,16541.77000000,23960.54000000,16499.01000000,23125.13000000,7977028.87801000,7977028.87801000
2022-12-31,118785.46760000,127244.61400000,112493.59600000,114473.40800000,17165.53000000,18387.95000000,16256.30000000,16542.40000000,5803833.88187000,5803833.88187000
2022-11-30,141795.92080000,148646.09800000,107093.92000000,118772.38880000,20490.74000000,21480.65000000,15476.00000000,17163.64000000,9127693.50906500,9127693.50906500
2022-10-31,134404.46120000,145908.20000000,125874.80000000,141795.92080000,19422.61000000,21085.00000000,18190.00000000,20490.74000000,7499121.81542000,7499121.81542000
2022-09-30,138735.20480000,157769.08000000,125431.78160000,134404.46120000,20048.44000000,22799.00000000,18125.98000000,19422.61000000,9838930.53657000,9838930.53657000
2022-08-31,161210.81120000,174462.33440000,135078.40000000,138746.13840000,23296.36000000,25211.32000000,19520.00000000,20050.02000000,5692462.41571000,5692462.41571000
2022-07-31,138000.09320000,170702.56000000,129964.52000000,161189.77440000,19942.21000000,24668.00000000,18781.00000000,23293.32000000,4983278.58810000,4983278.58810000
2022-06-30,220063.26600000,221322.15240000,121944.24000000,138000.09320000,31801.05000000,31982.97000000,17622.00000000,19942.21000000,2816058.47322600,2816058.47322600
2022-05-31,260405.13600000,276964.48840000,184764.00000000,220063.19680000,37630.80000000,40023.77000000,26700.00000000,31801.04000000,2387839.68080400,2387839.68080400
2022-04-30,314931.62200000,328313.24120000,260041.14400000,260405.13600000,45510.35000000,47444.11000000,37578.20000000,37630.80000000,1267655.68178000,1267655.68178000
2022-03-31,298667.20000000,333473.69280000,257112.60000000,314931.55280000,43160.00000000,48189.84000000,37155.00000000,45510.34000000,1501398.79591000,1501398.79591000
2022-02-28,266190.94800000,317081.32000000,237510.17760000,298667.20000000,38466.90000000,45821.00000000,34322.28000000,43160.00000000,1253514.21906000,1253514.21906000
2022-01-31,319821.15560000,332090.80000000,227786.81640000,266190.94800000,46216.93000000,47990.00000000,32917.17000000,38466.90000000,1279407.46572100,1279407.46572100
2021-12-31,394097.87520000,408650.56600000,290642.07600000,319821.15560000,56950.56000000,59053.55000000,42000.30000000,46216.93000000,1233745.52431800,1233745.52431800
2021-11-30,424194.68520000,477480.00000000,368535.94880000,394097.87520000,61299.81000000,69000.00000000,53256.64000000,56950.56000000,1291900.10524800,1291900.10524800
2021-10-31,303234.46920000,463640.00000000,299518.56760000,424194.61600000,43820.01000000,67000.00000000,43283.03000000,61299.80000000,1565556.29262300,1565556.29262300
2021-09-30,325938.15880000,366206.40000000,274032.00000000,303262.77200000,47100.89000000,52920.00000000,39600.00000000,43824.10000000,1527799.51076800,1527799.51076800
2021-08-31,286915.93280000,349460.00000000,258342.28400000,325938.15880000,41461.84000000,50500.00000000,37332.70000000,47100.89000000,1635402.87424500,1635402.87424500
2021-07-31,242511.40000000,293740.16000000,202603.76000000,286915.86360000,35045.00000000,42448.00000000,29278.00000000,41461.83000000,1778463.26483700,1778463.26483700
2021-06-30,257796.43440000,286003.60000000,199330.60000000,242511.40000000,37253.82000000,41330.00000000,28805.00000000,35045.00000000,2901775.30592300,2901775.30592300
2021-05-31,399264.97000000,411740.00000000,207600.00000000,257796.36520000,57697.25000000,59500.00000000,30000.00000000,37253.81000000,3536245.25657300,3536245.25657300
2021-04-30,406477.06320000,448789.68000000,324755.60000000,399244.34840000,58739.46000000,64854.00000000,46930.00000000,57694.27000000,1993468.93800700,1993468.93800700
2021-03-31,312328.04120000,427960.48000000,311057.66760000,406484.60600000,45134.11000000,61844.00000000,44950.53000000,58740.55000000,2098808.02743200,2098808.02743200
2021-02-28,229003.35240000,403801.37600000,223489.42720000,312338.76720000,33092.97000000,58352.80000000,32296.16000000,45135.66000000,2518242.14851700,2518242.14851700
2021-01-31,200151.51960000,290294.00000000,194659.60000000,229003.42160000,28923.63000000,41950.00000000,28130.00000000,33092.98000000,3440864.75001900,3440864.75001900
2020-12-31,136295.42040000,202756.00000000,121600.52360000,200151.51960000,19695.87000000,29300.00000000,17572.33000000,28923.63000000,2495281.85621700,2495281.85621700
2020-11-30,95433.72000000,137453.06720000,91309.74600000,136295.42040000,13791.00000000,19863.16000000,13195.05000000,19695.87000000,2707064.91116500,2707064.91116500
2020-10-31,74574.00280000,97572.00000000,71788.08000000,95433.72000000,10776.59000000,14100.00000000,10374.00000000,13791.00000000,1592634.41994600,1592634.41994600
2020-09-30,80614.60920000,83391.88200000,67989.00000000,74574.00280000,11649.51000000,12050.85000000,9825.00000000,10776.59000000,1730389.16017900,1730389.16017900
